id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
399282,20000,B,home_improvement,OWN,60000,18.58,705,Charged Off
529372,7175,E,debt_consolidation,RENT,33312,29.86,660,Fully Paid
1335994,15950,C,debt_consolidation,RENT,38000,18.26,705,Charged Off
256674,8400,A,wedding,RENT,49872,14.56,720,Fully Paid
90889,5000,C,vacation,OWN,90000,16.07,705,Charged Off
822907,10000,A,debt_consolidation,RENT,51000,27.31,730,Fully Paid
445197,5000,C,home_improvement,MORTGAGE,80000,12.95,665,Fully Paid
1620936,18000,C,debt_consolidation,OWN,40000,25.14,685,Fully Paid
208802,10000,A,debt_consolidation,MORTGAGE,120000,7.56,705,Fully Paid
923005,8000,D,debt_consolidation,MORTGAGE,46000,2.53,680,Fully Paid
263516,16000,D,debt_consolidation,MORTGAGE,70000,11.95,665,Fully Paid
1380095,3525,E,other,MORTGAGE,48000,21.38,740,Charged Off
160916,12000,C,credit_card,RENT,48000,22.45,670,Charged Off
1616468,24000,C,credit_card,RENT,135000,14.59,680,Fully Paid
142171,24000,B,debt_consolidation,MORTGAGE,115000,14.84,690,Fully Paid
842654,11325,E,debt_consolidation,MORTGAGE,50000,20.23,685,Charged Off
932957,20000,C,credit_card,RENT,66500,18.26,670,Fully Paid
1154482,12000,C,debt_consolidation,RENT,44000,33.39,680,Fully Paid
218261,12000,C,credit_card,OWN,60000,5.16,715,Fully Paid
641000,26125,F,debt_consolidation,RENT,74000,19.61,685,Charged Off
552942,9600,B,credit_card,RENT,50000,28.67,660,Fully Paid
390514,24000,B,credit_card,OWN,82744,18.1,730,Fully Paid
1601403,15000,C,credit_card,MORTGAGE,66000,22.33,665,Fully Paid
890087,8000,B,credit_card,RENT,25000,29.47,680,Fully Paid
615630,6000,A,credit_card,MORTGAGE,70000,17.48,690,Fully Paid
1621991,12000,B,credit_card,RENT,43000,30.34,715,Fully Paid
630106,25000,F,debt_consolidation,MORTGAGE,68000,34.06,680,Charged Off
1419843,16000,C,debt_consolidation,MORTGAGE,7000,244.6,690,Fully Paid
843260,13700,B,debt_consolidation,MORTGAGE,45000,30.77,710,Fully Paid
952512,3250,B,credit_card,RENT,30000,12.64,725,Fully Paid
203390,10000,B,debt_consolidation,MORTGAGE,62000,20.62,680,Charged Off
1526611,8400,B,credit_card,MORTGAGE,59000,13.2,665,Fully Paid
64670,9425,D,debt_consolidation,RENT,42000,18.71,680,Fully Paid
1416585,11200,C,debt_consolidation,RENT,86000,20.23,665,Fully Paid
175467,14825,E,debt_consolidation,MORTGAGE,52000,11.82,715,Charged Off
684509,1525,A,credit_card,RENT,35000,11.42,725,Fully Paid
759920,13600,C,credit_card,RENT,98000,24.44,680,Fully Paid
65041,2000,B,debt_consolidation,MORTGAGE,103000,10.35,670,Fully Paid
9469,5000,C,vacation,MORTGAGE,130000,9.23,710,Charged Off
754635,16000,B,credit_card,OWN,60000,19.63,720,Fully Paid
15872,5000,C,debt_consolidation,RENT,21000,8.34,685,Fully Paid
855304,35000,B,debt_consolidation,MORTGAGE,80000,4.26,740,Fully Paid
1402844,10000,C,credit_card,RENT,61992,15.91,660,Charged Off
824848,21000,E,debt_consolidation,MORTGAGE,150000,17.53,710,Fully Paid
930869,7000,C,debt_consolidation,MORTGAGE,53674.45,11.47,660,Fully Paid
907360,15200,B,debt_consolidation,MORTGAGE,60000,27.14,670,Fully Paid
513694,24000,A,home_improvement,MORTGAGE,123528,5.61,815,Fully Paid
649088,25000,C,home_improvement,OWN,95000,9.55,670,Fully Paid
264360,1500,A,home_improvement,RENT,29004,9.76,725,Fully Paid
25548,3000,B,debt_consolidation,RENT,60000,16.66,675,Charged Off
636760,7000,C,debt_consolidation,MORTGAGE,57000,15.43,670,Fully Paid
665725,4800,C,debt_consolidation,OWN,20500,17.68,660,Fully Paid
1328188,21000,C,credit_card,MORTGAGE,84000,17.6,690,Fully Paid
606731,3700,D,debt_consolidation,MORTGAGE,20800,34.16,685,Fully Paid
452522,20000,D,debt_consolidation,RENT,104000,18.66,700,Fully Paid
47867,6500,C,other,RENT,49000,22.7,680,Fully Paid
1617179,24000,C,debt_consolidation,MORTGAGE,125000,4.1,665,Fully Paid
64879,8400,B,debt_consolidation,MORTGAGE,45000,17.25,670,Fully Paid
450270,35000,B,credit_card,MORTGAGE,137500,29.14,730,Charged Off
500792,18000,B,credit_card,OWN,70000,38.92,680,Fully Paid
942932,35000,E,debt_consolidation,MORTGAGE,115000,11.58,685,Charged Off
634618,20000,B,debt_consolidation,OWN,125000,16.39,670,Fully Paid
660760,20050,C,debt_consolidation,RENT,49000,25.96,680,Charged Off
983670,9000,A,car,OWN,78000,17.83,725,Fully Paid
219802,5950,D,debt_consolidation,MORTGAGE,60000,11.7,665,Fully Paid
112692,14000,C,debt_consolidation,MORTGAGE,170000,13.77,675,Charged Off
58097,6025,D,debt_consolidation,MORTGAGE,20340,21.47,670,Fully Paid
1017055,2000,D,debt_consolidation,RENT,28500,4.34,685,Fully Paid
822296,15000,C,debt_consolidation,OWN,137000,4.2,675,Fully Paid
618858,5000,C,other,MORTGAGE,45000,3.09,680,Fully Paid
900334,21000,B,debt_consolidation,MORTGAGE,80000,16.61,675,Fully Paid
1414516,20175,A,debt_consolidation,MORTGAGE,92500,10.15,745,Fully Paid
465745,30000,C,debt_consolidation,MORTGAGE,90000,22.89,670,Fully Paid
1118309,8000,C,debt_consolidation,RENT,33000,31.82,665,Charged Off
552794,25000,C,debt_consolidation,MORTGAGE,62000,13.8,665,Fully Paid
220870,9500,A,credit_card,OWN,59517,13.77,665,Fully Paid
1339554,20000,A,debt_consolidation,MORTGAGE,109000,12.8,705,Fully Paid
1166839,18000,B,debt_consolidation,OWN,70000,17.47,680,Fully Paid
1134593,23650,F,debt_consolidation,OWN,49300,23.32,690,Fully Paid
519600,16500,D,debt_consolidation,OWN,75000,21.04,665,Charged Off
1030455,7000,A,major_purchase,OWN,110000,13.14,810,Fully Paid
49208,9800,A,home_improvement,MORTGAGE,195000,16.18,720,Fully Paid
973068,15000,B,credit_card,MORTGAGE,85000,12.45,720,Charged Off
190951,2800,C,debt_consolidation,MORTGAGE,34000,28.8,665,Fully Paid
961644,8000,A,credit_card,MORTGAGE,33020,23.31,720,Fully Paid
1559104,26675,F,major_purchase,RENT,58000,6.7,735,Fully Paid
326213,10000,A,debt_consolidation,RENT,56000,15,770,Fully Paid
1466424,2000,B,debt_consolidation,RENT,42000,12.37,675,Charged Off
828346,10000,A,credit_card,RENT,64000,18.47,735,Fully Paid
99116,10000,A,debt_consolidation,MORTGAGE,103000,12.68,755,Fully Paid
241359,10000,A,small_business,MORTGAGE,187000,11.13,765,Fully Paid
925340,8000,B,credit_card,MORTGAGE,65000,30.25,705,Fully Paid
300134,15000,B,credit_card,RENT,150000,9.91,660,Charged Off
1079875,6000,C,credit_card,MORTGAGE,38000,24.86,690,Fully Paid
674454,10225,E,debt_consolidation,MORTGAGE,20582.4,10.96,685,Fully Paid
1559762,32500,F,debt_consolidation,MORTGAGE,65000,15.12,670,Fully Paid
869203,3000,E,other,RENT,40000,24.36,675,Fully Paid
14746,11000,A,debt_consolidation,MORTGAGE,99400,26.14,740,Fully Paid
124417,12725,C,debt_consolidation,RENT,150000,7.94,675,Fully Paid
898542,16375,E,debt_consolidation,MORTGAGE,62000,19.35,685,Fully Paid
207535,5600,B,debt_consolidation,MORTGAGE,95000,16.71,695,Fully Paid
917356,10000,C,debt_consolidation,RENT,50000,17.86,680,Fully Paid
733496,10000,E,credit_card,MORTGAGE,62000,24.54,695,Fully Paid
1120190,6000,C,debt_consolidation,MORTGAGE,50000,9.46,685,Fully Paid
54931,9125,E,home_improvement,OWN,100000,13.86,705,Charged Off
45201,11850,C,credit_card,RENT,27000,26.89,685,Fully Paid
41457,11875,F,other,OWN,55000,17.43,675,Fully Paid
1388829,9450,D,credit_card,MORTGAGE,27000,29.07,670,Fully Paid
379289,30000,E,debt_consolidation,MORTGAGE,92000,15.01,675,Charged Off
976403,12000,B,debt_consolidation,OWN,63000,29.24,715,Fully Paid
604354,10000,B,credit_card,RENT,37000,17.13,690,Fully Paid
460947,3500,C,vacation,MORTGAGE,50000,21.88,685,Fully Paid
820345,15000,B,debt_consolidation,RENT,70000,6.34,685,Fully Paid
347164,20000,C,other,MORTGAGE,81000,23.15,675,Fully Paid
1108098,10000,B,credit_card,RENT,57472,10.15,670,Fully Paid
485837,17000,B,debt_consolidation,MORTGAGE,120000,17.49,715,Fully Paid
641955,16000,A,debt_consolidation,RENT,75000,9.96,680,Fully Paid
833663,18000,F,debt_consolidation,RENT,67000,26.92,680,Charged Off
693120,35000,G,debt_consolidation,OWN,90000,21.97,685,Fully Paid
1411990,3400,C,debt_consolidation,MORTGAGE,90000,13.56,675,Fully Paid
416548,21975,E,debt_consolidation,RENT,68000,23.63,670,Charged Off
952300,11200,C,credit_card,MORTGAGE,60000,9.68,675,Fully Paid
133814,10000,C,debt_consolidation,MORTGAGE,31000,11.65,685,Charged Off
43524,12000,B,debt_consolidation,RENT,120000,17,660,Fully Paid
53320,29950,E,debt_consolidation,RENT,140000,13.39,670,Charged Off
255121,10625,E,debt_consolidation,MORTGAGE,34560,21.7,665,Fully Paid
280803,12000,B,debt_consolidation,MORTGAGE,52000,23.1,680,Charged Off
71805,20000,B,debt_consolidation,MORTGAGE,64000,26.48,690,Fully Paid
911967,13800,C,debt_consolidation,MORTGAGE,62796,22.07,665,Fully Paid
612155,12600,C,other,MORTGAGE,35000,28.6,770,Fully Paid
971987,12000,C,debt_consolidation,RENT,38000,13.11,675,Fully Paid
867237,35000,F,other,RENT,145000,18.38,680,Fully Paid
264190,15000,C,debt_consolidation,RENT,85000,14.91,715,Fully Paid
748423,12000,D,debt_consolidation,RENT,74000,15.68,670,Fully Paid
255671,4000,A,debt_consolidation,MORTGAGE,34600,12.97,760,Fully Paid
504914,4000,A,debt_consolidation,RENT,60000,9.57,770,Fully Paid
854783,12000,D,debt_consolidation,MORTGAGE,200000,26.35,660,Fully Paid
330013,12000,C,debt_consolidation,MORTGAGE,70000,25,685,Charged Off
94418,25000,B,debt_consolidation,RENT,96000,17.61,725,Fully Paid
430496,3000,D,other,RENT,56000,6.54,705,Fully Paid
332894,16000,B,debt_consolidation,RENT,130000,6.77,665,Fully Paid
599991,18000,C,debt_consolidation,RENT,120000,3.45,725,Fully Paid
805138,21000,A,debt_consolidation,MORTGAGE,151000,12.66,715,Fully Paid
433023,8500,C,credit_card,MORTGAGE,85000,23.45,735,Fully Paid
936762,25475,C,debt_consolidation,RENT,58000,18.54,695,Fully Paid
194230,11400,C,debt_consolidation,RENT,46000,14.32,675,Charged Off
1623792,18000,D,debt_consolidation,MORTGAGE,90000,9.01,670,Fully Paid
708717,13000,C,other,MORTGAGE,75000,28.27,725,Fully Paid
1155928,10000,B,debt_consolidation,RENT,51000,24.68,670,Fully Paid
1155570,20000,D,debt_consolidation,OWN,83200,30.49,670,Fully Paid
879157,15000,B,debt_consolidation,RENT,71000,16.88,720,Fully Paid
174887,19950,E,debt_consolidation,MORTGAGE,50000,12.84,710,Fully Paid
464540,35000,B,credit_card,MORTGAGE,140000,14.56,705,Fully Paid
1412547,10000,C,debt_consolidation,RENT,78000,22.86,675,Fully Paid
951379,13350,B,debt_consolidation,MORTGAGE,90000,20.21,705,Fully Paid
348579,1500,C,home_improvement,OWN,22800,23.63,680,Charged Off
838254,19700,E,debt_consolidation,MORTGAGE,45000,25.81,670,Fully Paid
699007,26400,A,credit_card,OWN,62000,21.95,750,Fully Paid
44901,9600,B,debt_consolidation,RENT,72000,16.56,720,Fully Paid
248346,5000,A,debt_consolidation,OWN,50000,12.7,790,Fully Paid
213882,7100,E,debt_consolidation,MORTGAGE,50000,24.56,660,Fully Paid
824240,26000,C,credit_card,MORTGAGE,63356,8.88,685,Fully Paid
1612313,16000,B,debt_consolidation,MORTGAGE,145000,12.31,690,Charged Off
378516,20000,C,other,MORTGAGE,50000,11.83,805,Fully Paid
1079633,11200,C,credit_card,RENT,38000,20.4,670,Fully Paid
51484,18000,B,credit_card,RENT,64272,10.81,670,Fully Paid
940714,9600,B,debt_consolidation,RENT,48000,15.3,690,Charged Off
60260,18000,B,debt_consolidation,MORTGAGE,50000,21.7,680,Fully Paid
920180,10000,B,debt_consolidation,RENT,55000,22.76,675,Charged Off
101162,28775,G,debt_consolidation,RENT,80000,26.94,680,Charged Off
67767,20000,E,debt_consolidation,RENT,50000,6.7,680,Charged Off
1354876,28000,D,debt_consolidation,MORTGAGE,84000,22.61,670,Fully Paid
963519,9850,C,debt_consolidation,RENT,41375,27.93,675,Fully Paid
288116,17000,B,debt_consolidation,MORTGAGE,64000,22.6,700,Charged Off
810030,4000,B,credit_card,MORTGAGE,35000,27.78,670,Fully Paid
846226,21000,B,major_purchase,MORTGAGE,120000,14.78,730,Fully Paid
907798,15000,B,debt_consolidation,RENT,61000,14.77,680,Fully Paid
460004,10000,C,debt_consolidation,MORTGAGE,135000,14.97,680,Charged Off
829040,20000,B,debt_consolidation,OWN,100000,31.66,675,Fully Paid
117014,10000,C,home_improvement,MORTGAGE,30000,19.88,675,Charged Off
985476,5400,C,credit_card,RENT,48000,24.28,670,Fully Paid
1637423,15000,E,debt_consolidation,RENT,55000,24.31,675,Charged Off
12493,10000,C,debt_consolidation,MORTGAGE,40000,22.11,705,Fully Paid
674237,17200,A,credit_card,RENT,80000,20.3,705,Fully Paid
330328,10000,B,credit_card,RENT,45000,6.85,670,Fully Paid
500033,29800,E,debt_consolidation,RENT,71000,21.16,675,Charged Off
457199,8000,C,debt_consolidation,RENT,50000,8.83,675,Fully Paid
1543745,16000,A,credit_card,MORTGAGE,100000,4.32,760,Fully Paid
519718,8400,A,credit_card,OWN,35000,32.06,745,Fully Paid
165607,5000,D,debt_consolidation,RENT,45000,13.65,700,Fully Paid
1344874,24700,C,debt_consolidation,MORTGAGE,44646,38.06,715,Fully Paid
862169,9000,D,debt_consolidation,RENT,42000,19.66,675,Fully Paid
1323686,15000,C,debt_consolidation,MORTGAGE,63000,6,715,Fully Paid
380335,5000,A,other,MORTGAGE,112000,15.49,710,Fully Paid
189255,17600,E,debt_consolidation,RENT,55000,18.72,675,Fully Paid
1096171,40000,B,major_purchase,MORTGAGE,100000,13.51,725,Fully Paid
22813,12000,B,debt_consolidation,MORTGAGE,110000,15.28,685,Charged Off
946339,32875,E,debt_consolidation,RENT,109500,23.05,715,Fully Paid
388498,20000,B,debt_consolidation,MORTGAGE,72000,22.83,710,Fully Paid
903820,8850,B,credit_card,RENT,30000,28.84,695,Fully Paid
111299,10000,D,debt_consolidation,RENT,50000,11.09,735,Fully Paid
967743,2000,B,major_purchase,MORTGAGE,104000,17.97,690,Fully Paid
123875,5000,D,debt_consolidation,RENT,70000,12.68,670,Fully Paid
1311893,35000,C,debt_consolidation,OWN,150000,12.41,670,Fully Paid
302196,5000,B,debt_consolidation,RENT,42000,12.14,680,Fully Paid
833180,10000,E,debt_consolidation,MORTGAGE,63000,9.43,665,Fully Paid
810736,6000,A,credit_card,RENT,91000,14.49,730,Fully Paid
141202,3975,D,debt_consolidation,RENT,60320,17.67,680,Charged Off
1162780,5000,B,credit_card,RENT,80000,24.44,665,Charged Off
494141,24800,E,debt_consolidation,MORTGAGE,62000,17.87,715,Fully Paid
632253,7000,C,home_improvement,MORTGAGE,69100,9.41,670,Charged Off
805386,4800,C,vacation,RENT,20800,14.85,690,Charged Off
415569,18200,A,credit_card,MORTGAGE,112200,26.78,695,Fully Paid
188999,20000,A,credit_card,MORTGAGE,201000,20.66,740,Fully Paid
636306,21000,B,credit_card,MORTGAGE,150000,18.87,680,Fully Paid
926458,15500,B,home_improvement,MORTGAGE,50000,10.86,710,Fully Paid
1547264,10000,B,debt_consolidation,OWN,190000,20.56,665,Fully Paid
234100,19000,A,credit_card,MORTGAGE,91000,16.85,725,Fully Paid
345995,12000,B,debt_consolidation,MORTGAGE,75000,20.61,750,Fully Paid
915803,14300,C,debt_consolidation,MORTGAGE,41000,20.4,700,Fully Paid
1594155,2000,C,vacation,MORTGAGE,76000,27.6,695,Fully Paid
284539,15000,B,home_improvement,MORTGAGE,750000,3.64,720,Fully Paid
529917,10500,E,car,RENT,45000,22.05,670,Charged Off
21272,18000,B,debt_consolidation,OWN,60000,13.19,675,Fully Paid
1557014,40000,A,debt_consolidation,MORTGAGE,127000,19.5,735,Fully Paid
236382,25000,C,debt_consolidation,MORTGAGE,80000,14.65,720,Fully Paid
585526,4000,C,debt_consolidation,RENT,47000,29.78,675,Charged Off
409020,7200,A,home_improvement,MORTGAGE,85000,38.92,720,Fully Paid
65101,22225,B,debt_consolidation,OWN,50000,30.39,705,Fully Paid
1406804,32000,C,debt_consolidation,MORTGAGE,138000,16.75,710,Fully Paid
981401,10000,C,credit_card,RENT,50000,18.46,690,Fully Paid
1552864,14400,C,debt_consolidation,RENT,72500,17.98,665,Fully Paid
493567,28000,D,debt_consolidation,MORTGAGE,78000,35.06,690,Fully Paid
26271,19750,C,debt_consolidation,RENT,44136,27.62,735,Charged Off
143520,10800,B,debt_consolidation,MORTGAGE,35000,19.63,700,Fully Paid
269035,5000,D,debt_consolidation,OWN,55000,2.42,665,Fully Paid
199382,35000,D,car,OWN,609000,1.58,665,Charged Off
95272,34875,G,debt_consolidation,MORTGAGE,144000,26.64,700,Charged Off
144641,12000,A,debt_consolidation,MORTGAGE,100000,11.55,790,Fully Paid
259514,25000,G,debt_consolidation,MORTGAGE,81600,22.12,660,Fully Paid
62385,4000,B,credit_card,RENT,17000,16.58,670,Fully Paid
222410,12000,B,debt_consolidation,MORTGAGE,44000,16.23,730,Fully Paid
873664,15000,B,debt_consolidation,RENT,67500,17.11,685,Fully Paid
173941,10300,D,debt_consolidation,RENT,72000,28.85,675,Fully Paid
274586,25000,B,major_purchase,MORTGAGE,225000,4.51,755,Fully Paid
53315,15000,C,debt_consolidation,RENT,120000,9.88,700,Fully Paid
1135886,5950,D,debt_consolidation,MORTGAGE,50000,18.82,665,Fully Paid
618549,20000,A,debt_consolidation,MORTGAGE,85000,18.8,740,Charged Off
458843,14000,E,vacation,OWN,78200,22.73,665,Fully Paid
591810,17500,C,debt_consolidation,RENT,102000,4.64,660,Fully Paid
83993,8000,B,debt_consolidation,RENT,33600,8.14,680,Fully Paid
620556,6500,C,debt_consolidation,RENT,50000,30.69,660,Charged Off
1164399,6000,B,debt_consolidation,RENT,58000,12.41,710,Fully Paid
39674,15000,E,debt_consolidation,RENT,50000,27.1,665,Fully Paid
1489588,12000,B,medical,RENT,55000,12.9,675,Charged Off
560503,18000,D,debt_consolidation,MORTGAGE,75000,32.22,680,Charged Off
715142,20000,B,debt_consolidation,MORTGAGE,70000,34.3,775,Fully Paid
881428,28000,C,debt_consolidation,OWN,175000,9.95,705,Charged Off
864480,13500,A,credit_card,MORTGAGE,90000,19.15,715,Fully Paid
221852,20000,C,debt_consolidation,RENT,120000,18.95,680,Fully Paid
19563,11975,C,debt_consolidation,MORTGAGE,57000,19.35,700,Fully Paid
619220,12000,C,credit_card,MORTGAGE,62000,16.74,685,Fully Paid
442117,16000,B,credit_card,OWN,95000,24.26,700,Fully Paid
673254,12000,B,debt_consolidation,MORTGAGE,120000,3.78,700,Fully Paid
893078,14000,C,debt_consolidation,RENT,97000,19.95,670,Fully Paid
273071,16000,B,other,RENT,84000,17.8,735,Fully Paid
169992,9000,A,debt_consolidation,MORTGAGE,57000,13.85,700,Fully Paid
934641,15000,B,debt_consolidation,MORTGAGE,45000,9.68,665,Charged Off
111199,7900,D,debt_consolidation,RENT,22000,19.48,685,Fully Paid
919962,20000,A,debt_consolidation,MORTGAGE,200000,24.59,700,Fully Paid
1584346,22500,C,debt_consolidation,MORTGAGE,130000,20.84,695,Fully Paid
964839,7000,B,debt_consolidation,RENT,35000,33.05,685,Fully Paid
1503849,5000,D,home_improvement,OWN,75000,21.06,685,Fully Paid
195091,3825,E,other,RENT,24000,33.2,660,Fully Paid
42291,8000,B,debt_consolidation,OWN,55000,29.41,675,Fully Paid
281724,12225,D,debt_consolidation,MORTGAGE,94000,10.62,670,Fully Paid
557082,15000,A,credit_card,MORTGAGE,90000,19.77,665,Fully Paid
1540280,5950,F,debt_consolidation,RENT,46000,24.97,665,Charged Off
256327,7000,A,credit_card,RENT,115200,22.19,740,Fully Paid
1374725,24000,C,debt_consolidation,MORTGAGE,88000,14.63,700,Charged Off
890649,18000,C,credit_card,MORTGAGE,52000,24.28,665,Fully Paid
675060,15000,D,debt_consolidation,MORTGAGE,85000,38.08,660,Charged Off
1182729,26875,D,debt_consolidation,MORTGAGE,64000,34.2,660,Charged Off
547513,13375,E,debt_consolidation,RENT,60000,15.42,670,Charged Off
164590,7000,A,credit_card,MORTGAGE,55000,11.5,770,Fully Paid
490786,20000,B,debt_consolidation,RENT,82000,15.81,675,Fully Paid
1601797,35000,E,debt_consolidation,RENT,119000,18.13,680,Charged Off
1419069,35000,C,debt_consolidation,MORTGAGE,119000,18.41,670,Fully Paid
140336,9000,E,debt_consolidation,RENT,30000,16.2,665,Fully Paid
175793,13500,C,debt_consolidation,RENT,75000,14.97,670,Fully Paid
536476,10000,C,credit_card,RENT,45000,18.91,680,Charged Off
203763,11000,C,debt_consolidation,OWN,40000,31.23,675,Fully Paid
1362616,17000,A,credit_card,MORTGAGE,96000,14.11,695,Fully Paid
1552082,32000,C,vacation,MORTGAGE,88000,24.87,745,Charged Off
22096,10800,C,debt_consolidation,RENT,47000,36.37,660,Fully Paid
380122,10000,B,home_improvement,MORTGAGE,58000,21.77,695,Charged Off
971079,14000,A,debt_consolidation,MORTGAGE,85000,14.85,750,Fully Paid
536522,6000,D,debt_consolidation,RENT,50000,14.09,670,Fully Paid
741776,25175,C,debt_consolidation,MORTGAGE,60000,11.08,695,Fully Paid
425925,11500,C,credit_card,OWN,95000,18.24,660,Fully Paid
849138,18000,B,debt_consolidation,RENT,55000,18.22,675,Fully Paid
316577,12475,G,car,OWN,39000,27.63,675,Charged Off
1578296,5000,B,debt_consolidation,OWN,26000,8.63,685,Fully Paid
127876,3375,B,home_improvement,MORTGAGE,36000,29.18,775,Fully Paid
884767,8000,D,major_purchase,OWN,54000,12.11,660,Fully Paid
23433,23000,C,debt_consolidation,MORTGAGE,120000,32.07,690,Fully Paid
136744,13200,A,credit_card,MORTGAGE,45000,6.8,785,Fully Paid
1555398,16800,B,debt_consolidation,RENT,84000,9.11,670,Charged Off
1578229,20000,D,small_business,RENT,100000,10.64,685,Charged Off
131405,19800,E,debt_consolidation,OWN,55000,8.64,675,Fully Paid
239079,20000,C,debt_consolidation,OWN,57000,17.35,725,Fully Paid
13295,10000,C,credit_card,OWN,25000,10.85,680,Charged Off
1318937,15000,C,home_improvement,OWN,87000,13.71,665,Fully Paid
74724,35000,B,credit_card,RENT,383000,7.6,755,Fully Paid
287249,7500,C,debt_consolidation,RENT,39000,13.03,670,Fully Paid
825018,12500,C,debt_consolidation,RENT,75000,8.91,670,Fully Paid
1626290,21000,C,debt_consolidation,RENT,104000,29.89,705,Charged Off
154185,15000,C,credit_card,MORTGAGE,87000,4.57,675,Fully Paid
1392605,14000,C,debt_consolidation,MORTGAGE,43000,12.39,685,Fully Paid
862901,8000,C,debt_consolidation,MORTGAGE,36000,22.11,680,Fully Paid
815202,7450,B,debt_consolidation,RENT,80000,14.34,680,Fully Paid
199332,24000,D,home_improvement,MORTGAGE,110000,8.85,670,Fully Paid
1473978,6000,B,debt_consolidation,RENT,65000,6.79,680,Fully Paid
76654,22000,C,debt_consolidation,MORTGAGE,214000,8.68,685,Fully Paid
904870,8400,C,debt_consolidation,MORTGAGE,75000,21.26,695,Fully Paid
1601383,9000,C,debt_consolidation,MORTGAGE,25791.12,11.26,670,Fully Paid
681556,16000,C,credit_card,RENT,38500,30.74,670,Fully Paid
1546736,8000,A,home_improvement,MORTGAGE,78500,29.62,770,Fully Paid
173362,9000,B,credit_card,MORTGAGE,94000,21,695,Fully Paid
208319,27000,B,debt_consolidation,MORTGAGE,115000,14.02,715,Fully Paid
900771,14000,C,debt_consolidation,MORTGAGE,125000,7.97,670,Fully Paid
60025,10000,A,debt_consolidation,RENT,39980,29.5,725,Fully Paid
1029843,7500,C,home_improvement,MORTGAGE,67000,13.8,670,Charged Off
281782,8000,D,debt_consolidation,MORTGAGE,93000,37.44,675,Charged Off
354399,6000,C,major_purchase,RENT,35000,10.08,735,Fully Paid
87889,13200,E,debt_consolidation,MORTGAGE,94000,15.84,670,Charged Off
527835,9600,A,credit_card,MORTGAGE,30000,20.44,685,Fully Paid
595192,10000,C,debt_consolidation,RENT,30000,21.72,660,Fully Paid
56214,20900,D,debt_consolidation,RENT,67000,26.78,695,Fully Paid
637338,10200,C,debt_consolidation,RENT,56000,22.52,670,Charged Off
979941,30000,A,debt_consolidation,MORTGAGE,140000,9.33,750,Fully Paid
560012,18000,D,debt_consolidation,MORTGAGE,52500,19.98,700,Fully Paid
29666,33400,E,debt_consolidation,RENT,95000,21.42,675,Fully Paid
1511486,7000,C,debt_consolidation,MORTGAGE,60000,26.86,730,Fully Paid
